                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2172,                 3.5543,                 1.7373,                 1.4235,                0.06504,                      1,                0.07294,                0.06214,                0.01416,                0.41667,                 0.0096,                0.00185,                 1.0803,                 5.0633,                 432.49,                  2.452,                0.00034,                0.00034,                0.00034
                      2,                 1.3336,                 2.9273,                 1.4391,                 1.5201,                0.01425,                0.95833,                0.02238,                 0.0105,                      0,                      0,                      0,                      0,                 2.5561,                 657.41,                 1767.8,                 12.082,             0.00069653,             0.00069653,             0.00069653
                      3,                 1.4875,                  3.075,                 1.4754,                 1.5776,                0.00191,                    0.5,                0.00169,                0.00051,                      0,                      0,                      0,                      0,                 3.1739,                 816.45,                 6486.7,                 48.294,              0.0010495,              0.0010495,              0.0010495
                      4,                 1.4962,                 3.0383,                 1.3413,                 1.6324,                0.00014,                0.04167,                  9e-05,                  1e-05,                      0,                      0,                      0,                      0,                 4.7581,                 1800.2,                  23469,                  115.4,              0.0013989,              0.0013989,              0.0013989
                      5,                 1.5109,                 3.0983,                  1.448,                  1.643,                0.09091,                  0.125,                0.09497,                0.02662,                0.00136,                0.04167,                0.00018,                  4e-05,                 2.4469,                 7.2297,                 102.55,                 5.7359,              0.0017448,              0.0017448,              0.0017448
                      6,                 1.4662,                 3.0785,                 1.3748,                 1.6205,                0.00747,                0.58333,                0.00574,                0.00319,                0.00134,                  0.125,                0.00043,                  8e-05,                  2.348,                 12.946,                 1822.1,                 4.6076,              0.0019505,              0.0019505,              0.0019505
                      7,                  1.458,                 3.0094,                 1.3376,                 1.6236,                0.00622,                   0.75,                0.00592,                0.00178,                      0,                      0,                      0,                      0,                 3.7382,                 12.841,                 70.237,                 8.3073,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.3871,                 3.0037,                 1.2867,                 1.5514,                0.03664,                0.20833,                0.01181,                0.00438,                0.00202,                0.04167,                0.00046,                0.00012,                 2.7735,                 7.8179,                 45.379,                 4.0421,              0.0019307,              0.0019307,              0.0019307
                      9,                  1.366,                 2.9689,                 1.2495,                 1.5511,                0.17668,                0.54167,                0.17138,                0.06282,                 0.0161,                0.04167,                0.00102,                0.00031,                 2.1624,                 4.1789,                 9.0474,                 3.0929,              0.0019208,              0.0019208,              0.0019208
                     10,                 1.3495,                 2.8735,                 1.2076,                 1.5261,                0.16025,                    0.5,                 0.2065,                0.12815,                0.07257,                0.20833,                0.04369,                0.01458,                 1.7974,                 3.4335,                 10.522,                 2.7958,              0.0019109,              0.0019109,              0.0019109
                     11,                 1.3526,                 2.8213,                 1.2081,                 1.4965,                0.37663,                0.45833,                 0.4245,                0.26274,                0.03025,                0.04167,                0.00458,                 0.0006,                 1.5425,                 3.7847,                  6.257,                 2.8399,               0.001901,               0.001901,               0.001901
                     12,                 1.2982,                 2.7554,                 1.1132,                 1.4939,                0.61901,                0.91667,                0.81696,                0.44733,                  0.162,                0.20833,                0.04927,                0.00998,                 1.1928,                 4.1907,                 4.4909,                 2.1904,              0.0018911,              0.0018911,              0.0018911
                     13,                 1.2676,                 2.7269,                 1.0506,                 1.4745,                0.35272,                0.70833,                0.37615,                0.25732,                0.04107,                0.08333,                0.00469,                0.00102,                  1.241,                 4.0149,                 2.7426,                 2.4245,              0.0018812,              0.0018812,              0.0018812
                     14,                 1.2573,                 2.6678,                 1.0576,                 1.4559,                0.51278,                  0.625,                0.63676,                0.40691,                0.22794,                0.33333,                 0.1721,                0.03634,                 1.2776,                 3.6236,                 3.4999,                 1.9583,              0.0018713,              0.0018713,              0.0018713
                     15,                  1.301,                 2.7081,                 1.1254,                 1.4503,                0.85843,                0.95833,                0.95332,                0.60625,                0.51942,                0.58333,                0.33834,                0.06299,                 1.0895,                 2.5615,                  1.725,                 1.8698,              0.0018614,              0.0018614,              0.0018614
                     16,                 1.2198,                 2.5609,                 1.0586,                 1.4251,                0.80272,                  0.875,                0.85017,                0.64011,                0.29939,                0.33333,                0.18627,                0.03654,                0.92336,                 3.5762,                 1.8322,                 1.7081,              0.0018515,              0.0018515,              0.0018515
                     17,                 1.2493,                 2.6391,                 1.0432,                 1.4149,                0.91803,                0.93372,                0.97577,                0.71788,                0.53164,                    0.5,                0.35235,                  0.095,                0.97202,                 2.2177,                 1.0556,                 1.7188,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.1784,                  2.554,                0.97936,                 1.3825,                0.91217,                0.86575,                0.92779,                0.60326,                0.40599,                0.41667,                0.30073,                0.07367,                 1.1321,                  2.497,                  1.308,                 1.9201,              0.0018317,              0.0018317,              0.0018317
                     19,                 1.1893,                 2.5427,                0.97247,                 1.4085,                0.72391,                0.91667,                0.91472,                0.66001,                 0.5502,                0.41667,                0.31484,                0.06627,                 1.0322,                 2.2577,                 1.4653,                 1.8332,              0.0018218,              0.0018218,              0.0018218
                     20,                 1.1876,                  2.572,                 1.0243,                 1.3791,                0.95588,                0.90305,                0.96888,                0.65916,                0.40481,                  0.375,                0.19597,                0.06721,                0.94518,                 2.2924,                 1.8232,                 1.8071,              0.0018119,              0.0018119,              0.0018119
                     21,                  1.189,                 2.4967,                   1.01,                 1.3924,                0.64481,                   0.75,                0.82756,                0.54975,                0.53098,                0.33333,                0.26866,                0.07718,                 1.1925,                  2.769,                 1.4011,                 2.0383,               0.001802,               0.001802,               0.001802
                     22,                 1.1767,                 2.5613,                 1.0211,                 1.3892,                0.86328,                0.95833,                0.94888,                0.61973,                0.46037,                0.33333,                0.19712,                0.06138,                 1.0475,                 2.3124,                 1.3596,                  1.981,              0.0017921,              0.0017921,              0.0017921
                     23,                 1.1389,                  2.479,                0.99078,                 1.3952,                0.91211,                0.86513,                 0.9625,                0.64982,                0.43231,                  0.375,                0.23105,                0.09313,                0.98833,                 2.3989,                 1.6639,                 1.7748,              0.0017822,              0.0017822,              0.0017822
                     24,                 1.1257,                  2.391,                0.96167,                 1.3616,                0.92763,                0.79167,                0.90432,                0.65924,                0.48705,                0.41667,                0.27048,                 0.0854,                0.97725,                 2.2687,                 1.2415,                 1.7659,              0.0017723,              0.0017723,              0.0017723
                     25,                 1.1443,                 2.3591,                0.97068,                 1.3695,                0.89293,                0.83333,                0.91506,                0.71501,                0.49343,                0.45833,                0.29626,                0.08262,                0.85626,                 2.3512,                0.97891,                 1.6107,              0.0017624,              0.0017624,              0.0017624
                     26,                 1.1122,                 2.4154,                0.91938,                 1.3521,                0.95187,                0.82432,                0.94714,                0.57029,                 0.5898,                    0.5,                0.42616,                0.13734,                 1.2494,                   1.98,                 0.9625,                 1.9908,              0.0017525,              0.0017525,              0.0017525
                     27,                 1.1376,                  2.483,                0.95066,                  1.381,                0.95812,                0.95339,                0.98889,                0.63058,                0.47546,                0.45833,                0.32776,                0.12509,                  1.115,                  2.428,                0.98796,                 1.9762,              0.0017426,              0.0017426,              0.0017426
                     28,                 1.1442,                 2.4285,                0.90265,                 1.3602,                0.95412,                0.91667,                0.96354,                0.58494,                0.56495,                0.45833,                0.44298,                 0.1307,                 1.1582,                 2.6849,                  1.263,                 1.9793,              0.0017327,              0.0017327,              0.0017327
                     29,                 1.0887,                 2.4033,                0.90197,                 1.3445,                0.82266,                0.91667,                0.95435,                0.60029,                0.58037,                  0.375,                0.34823,                0.11606,                 1.1085,                 2.1928,                0.91319,                 1.8563,              0.0017228,              0.0017228,              0.0017228
                     30,                 1.1352,                 2.3956,                0.90658,                 1.3572,                0.48556,                0.95833,                0.75532,                0.52463,                 0.4292,                0.41667,                0.38262,                0.11746,                0.98312,                 1.9492,                 1.4856,                 1.7321,              0.0017129,              0.0017129,              0.0017129
                     31,                 1.0697,                 2.2836,                0.86954,                 1.3013,                0.81964,                      1,                0.94272,                0.63739,                 0.3491,                0.45833,                 0.2645,                 0.0994,                0.90156,                 2.5894,                0.89564,                 1.7175,               0.001703,               0.001703,               0.001703
                     32,                 1.1495,                 2.3326,                0.95921,                  1.363,                0.85071,                0.94999,                 0.8612,                0.50183,                0.37575,                0.41667,                0.19031,                0.06298,                 1.2334,                 2.1325,                 1.1027,                 2.0507,              0.0016931,              0.0016931,              0.0016931
                     33,                 1.0774,                  2.331,                0.90887,                 1.3472,                0.91446,                0.89125,                 0.9623,                0.70603,                0.51531,                    0.5,                0.36709,                0.09257,                 0.9347,                 2.3496,                 1.1458,                 1.7931,              0.0016832,              0.0016832,              0.0016832
                     34,                 1.0931,                 2.2817,                0.86462,                   1.32,                  0.946,                  0.875,                0.96517,                0.68659,                0.69149,                0.45833,                0.45293,                0.12743,                 1.0292,                 2.3357,                0.79292,                 1.8262,              0.0016733,              0.0016733,              0.0016733
                     35,                  1.037,                 2.2218,                0.82478,                 1.2882,                0.93798,                0.91667,                0.96416,                0.65016,                0.42392,                0.41667,                0.26848,                0.08506,                 1.0545,                 3.0219,                 1.1006,                  1.807,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.1117,                 2.4086,                0.88067,                 1.3285,                0.83934,                0.87088,                 0.9611,                0.71695,                0.47937,                    0.5,                0.37201,                0.12553,                0.91444,                 2.0106,                 1.0572,                 1.7547,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.0448,                 2.2651,                 0.8733,                  1.292,                0.85879,                  0.875,                0.95054,                0.70709,                0.47895,                    0.5,                0.28513,                0.07728,                0.96871,                 2.1198,                 1.1013,                 1.6892,              0.0016436,              0.0016436,              0.0016436
                     38,                 1.0655,                 2.2935,                0.85735,                 1.3316,                0.98668,                0.91667,                0.98609,                0.77346,                0.54247,                    0.5,                0.41769,                0.14918,                0.83425,                 2.2796,                0.72611,                 1.6491,              0.0016337,              0.0016337,              0.0016337
                     39,                 1.0359,                 2.2005,                0.83698,                 1.2915,                0.97247,                0.83333,                0.96922,                0.73426,                0.49792,                0.41667,                0.25245,                 0.0751,                0.96065,                 2.5019,                0.78375,                 1.6733,              0.0016238,              0.0016238,              0.0016238
                     40,                 1.0016,                 2.1691,                0.82425,                   1.29,                0.83793,                0.83333,                0.93185,                0.67597,                 0.4787,                    0.5,                0.27902,                0.07804,                0.95367,                 2.1206,                0.99405,                 1.7293,              0.0016139,              0.0016139,              0.0016139
                     41,                 1.0556,                 2.2017,                0.82627,                 1.3032,                0.83129,                0.95833,                0.91382,                0.66359,                0.66124,                0.54167,                0.48761,                0.16002,                0.89999,                 2.0122,                 1.0085,                 1.6663,               0.001604,               0.001604,               0.001604
                     42,                 1.0415,                 2.3288,                0.86146,                 1.3047,                0.88214,                0.93599,                0.93815,                0.63113,                0.55347,                0.58333,                0.48533,                0.15481,                 1.0421,                 2.1891,                0.93881,                 1.7912,              0.0015941,              0.0015941,              0.0015941
                     43,                 1.0551,                  2.231,                0.82923,                 1.3331,                 0.9344,                  0.875,                0.93478,                0.63879,                 0.4487,                0.41667,                0.27034,                 0.0525,                 1.0907,                 2.7066,                 1.3336,                 1.8467,              0.0015842,              0.0015842,              0.0015842
                     44,                 1.0661,                 2.2787,                0.84788,                 1.3431,                 0.9591,                0.97755,                 0.9934,                0.75418,                0.66294,                0.57402,                0.50538,                0.16647,                0.86105,                 1.9454,                0.71558,                 1.7283,              0.0015743,              0.0015743,              0.0015743
                     45,                  1.053,                 2.1561,                0.79097,                 1.2891,                0.90675,                  0.875,                0.94612,                0.65317,                0.49209,                0.41667,                0.32162,                0.10898,                 1.0834,                 2.1467,                0.87584,                   1.84,              0.0015644,              0.0015644,              0.0015644
                     46,                 1.0479,                 2.0958,                 0.7962,                 1.2997,                0.86672,                  0.875,                0.94399,                0.69471,                0.61988,                0.54167,                0.42645,                0.14285,                0.92401,                  1.814,                0.92375,                 1.6941,              0.0015545,              0.0015545,              0.0015545
                     47,                 1.0406,                 2.1785,                0.79451,                 1.3061,                0.69417,                 0.7568,                 0.8529,                0.63384,                0.40959,                0.45833,                0.37013,                0.12967,                0.93259,                  2.302,                 1.5794,                 1.7382,              0.0015446,              0.0015446,              0.0015446
                     48,                 1.0418,                 2.2495,                0.80066,                 1.2969,                0.95524,                  0.875,                0.96447,                0.74121,                0.67498,                  0.625,                0.58738,                0.19741,                0.85273,                 1.8587,                 1.2012,                 1.6553,              0.0015347,              0.0015347,              0.0015347
                     49,                 1.0143,                 2.1969,                0.79681,                 1.3012,                 0.7855,                0.91553,                0.89824,                0.66434,                0.37077,                  0.375,                0.21761,                0.08928,                0.92618,                 2.0629,                 1.0117,                 1.6973,              0.0015248,              0.0015248,              0.0015248
                     50,                0.98878,                 2.1902,                0.81035,                 1.2719,                0.90889,                      1,                0.96885,                0.72842,                0.52359,                0.58333,                0.32297,                0.09255,                0.92763,                 2.0868,                 0.6847,                 1.7377,              0.0015149,              0.0015149,              0.0015149
                     51,                0.98986,                  2.082,                0.75846,                 1.2678,                0.90267,                0.70833,                0.89729,                0.64659,                0.48298,                  0.375,                 0.2475,                0.08123,                0.97391,                 2.5082,                 1.1135,                 1.7618,               0.001505,               0.001505,               0.001505
                     52,                 1.0012,                 2.1446,                0.75702,                 1.2829,                0.76724,                0.91667,                0.90062,                0.67359,                0.45706,                0.54167,                0.40398,                0.20006,                0.86931,                 2.0539,                 1.1134,                  1.647,              0.0014951,              0.0014951,              0.0014951
                     53,                0.96531,                 2.1275,                0.74651,                 1.2489,                0.88532,                0.91667,                0.94861,                0.72795,                0.47603,                    0.5,                0.38746,                0.16441,                0.79258,                 2.1673,                0.69439,                 1.6095,              0.0014852,              0.0014852,              0.0014852
                     54,                0.95064,                 2.1385,                0.74452,                 1.2485,                0.95729,                0.93439,                0.98595,                0.69132,                 0.6611,                0.58333,                0.43753,                0.17477,                0.98671,                 2.0321,                0.70649,                 1.7992,              0.0014753,              0.0014753,              0.0014753
                     55,                0.92432,                 2.1364,                0.75564,                 1.2487,                0.99396,                0.91667,                0.98135,                0.70113,                 0.5904,                0.54167,                0.40275,                0.15181,                 1.0679,                 1.9092,                0.70875,                 1.8905,              0.0014654,              0.0014654,              0.0014654
                     56,                0.98614,                  2.084,                0.78227,                 1.2787,                0.79339,                0.80027,                0.91407,                0.71148,                0.53343,                    0.5,                0.52019,                0.16505,                 0.7612,                  2.161,                 1.1878,                 1.6244,              0.0014555,              0.0014555,              0.0014555
                     57,                0.96421,                 1.9154,                0.75361,                 1.2602,                 0.9566,                0.91667,                0.97062,                0.69779,                0.52948,                    0.5,                0.39702,                0.14723,                 0.9971,                 2.0047,                0.80437,                 1.7714,              0.0014456,              0.0014456,              0.0014456
                     58,                 0.9998,                 2.0222,                0.77666,                 1.2772,                 0.9188,                0.94332,                0.97427,                 0.6937,                0.69049,                0.58333,                0.49449,                0.17595,                 1.0162,                 1.7994,                0.73103,                 1.8775,              0.0014357,              0.0014357,              0.0014357
                     59,                0.93924,                 2.0222,                0.73218,                 1.2228,                0.94902,                0.95833,                0.98692,                0.72623,                0.58163,                0.58333,                0.46854,                0.18412,                0.99162,                  1.628,                0.78581,                   1.85,              0.0014258,              0.0014258,              0.0014258
                     60,                0.97476,                 2.0132,                0.75793,                 1.2441,                0.93916,                0.91667,                0.93391,                0.68863,                0.46851,                0.45833,                0.28245,                0.12688,                 1.0325,                  1.848,                0.67347,                  1.928,              0.0014159,              0.0014159,              0.0014159
                     61,                0.95863,                 1.9849,                0.76422,                 1.2654,                0.88169,                0.95833,                0.95998,                0.74714,                0.61972,                  0.625,                0.43985,                0.16084,                0.92409,                 1.7876,                0.68767,                  1.708,               0.001406,               0.001406,               0.001406
                     62,                0.95586,                 2.0328,                0.72132,                 1.2371,                0.90768,                0.91667,                0.95704,                0.72262,                0.61846,                  0.625,                0.47583,                0.16708,                0.93048,                 1.8725,                0.69273,                  1.703,              0.0013961,              0.0013961,              0.0013961
                     63,                0.91459,                 1.9728,                0.71442,                  1.223,                0.85897,                0.91667,                0.95949,                0.68425,                0.48395,                0.45833,                0.26709,                0.08838,                 1.0331,                  2.392,                0.79246,                  1.819,              0.0013862,              0.0013862,              0.0013862
                     64,                0.90212,                  2.005,                 0.7253,                 1.2391,                 0.9085,                0.95833,                0.97502,                0.74635,                0.56256,                0.54167,                0.39045,                0.10618,                 0.8969,                 1.9926,                0.97759,                 1.6953,              0.0013763,              0.0013763,              0.0013763
                     65,                 0.8774,                 1.9234,                0.69111,                  1.216,                0.98244,                0.83333,                0.93044,                0.65903,                0.60071,                    0.5,                0.39202,                0.15799,                 1.0361,                 2.0423,                0.78931,                 1.7725,              0.0013664,              0.0013664,              0.0013664
                     66,                0.92316,                 1.9839,                 0.7175,                 1.2165,                0.99058,                0.95833,                0.99192,                0.80805,                0.61569,                0.58333,                 0.4491,                0.15903,                0.83484,                 1.8669,                0.57237,                 1.7402,              0.0013565,              0.0013565,              0.0013565
                     67,                0.92159,                 1.8813,                0.73794,                 1.2136,                0.63814,                0.79167,                0.77611,                0.59172,                0.47204,                0.55915,                0.43712,                0.16579,                0.94845,                  2.018,                 1.4432,                  1.746,              0.0013466,              0.0013466,              0.0013466
                     68,                0.89175,                  2.001,                0.69573,                 1.2017,                 0.9197,                0.95458,                0.95798,                0.74239,                0.51406,                    0.5,                0.34597,                0.14235,                0.79879,                  2.131,                0.67623,                 1.6544,              0.0013367,              0.0013367,              0.0013367
                     69,                0.93433,                 2.0487,                0.73944,                 1.2561,                0.91958,                0.95303,                0.92382,                0.71322,                0.59962,                0.62406,                0.44303,                0.12273,                0.82202,                 2.0262,                0.69663,                 1.7198,              0.0013268,              0.0013268,              0.0013268
                     70,                0.87192,                 1.8813,                0.67149,                 1.1997,                 0.8887,                0.99819,                0.98562,                0.75421,                0.66651,                0.66667,                0.57365,                0.16813,                0.80887,                 1.8335,                0.62365,                 1.6028,              0.0013169,              0.0013169,              0.0013169
                     71,                0.88683,                 1.8902,                0.69114,                 1.2183,                0.86639,                0.95833,                0.94751,                0.73765,                0.56692,                  0.625,                0.44293,                0.15198,                0.84679,                 1.9261,                 0.8406,                  1.616,               0.001307,               0.001307,               0.001307
                     72,                0.90039,                 1.8154,                 0.6821,                 1.2173,                0.77393,                  0.875,                0.83893,                0.69774,                0.62513,                0.66667,                0.53199,                0.15424,                0.71203,                 1.7857,                 1.2365,                  1.545,              0.0012971,              0.0012971,              0.0012971
                     73,                0.87631,                 1.8461,                0.67869,                 1.1984,                0.92114,                0.97378,                0.98711,                0.81271,                 0.8505,                  0.625,                0.60048,                0.26948,                0.78568,                 1.8933,                0.58829,                 1.6193,              0.0012872,              0.0012872,              0.0012872
                     74,                0.90723,                 1.9281,                0.68804,                 1.2078,                 0.9358,                  0.875,                0.93877,                0.69378,                0.58307,                    0.5,                0.38995,                0.14833,                0.95898,                 1.8074,                0.73052,                 1.7567,              0.0012773,              0.0012773,              0.0012773
                     75,                0.89381,                  1.893,                0.68417,                 1.1773,                0.93014,                0.95833,                0.96792,                0.74134,                0.62041,                  0.625,                  0.518,                0.19776,                0.91321,                 1.9149,                0.63558,                 1.7628,              0.0012674,              0.0012674,              0.0012674
                     76,                0.88202,                 1.8852,                0.67972,                 1.1799,                0.95365,                0.95833,                0.96371,                0.73546,                0.55517,                0.54167,                 0.4577,                0.17097,                0.93368,                 1.8391,                 0.7921,                 1.7616,              0.0012575,              0.0012575,              0.0012575
                     77,                0.89178,                 1.8295,                0.69988,                 1.2072,                0.87179,                0.85039,                0.90987,                 0.6822,                0.55497,                    0.5,                0.46038,                0.16176,                0.93427,                 1.8876,                 1.5366,                 1.7131,              0.0012476,              0.0012476,              0.0012476
                     78,                0.88896,                 1.8446,                0.67135,                 1.2132,                0.89258,                  0.875,                0.96457,                0.71646,                0.67087,                  0.625,                0.54179,                0.21954,                0.97483,                  1.802,                 0.8843,                 1.7743,              0.0012377,              0.0012377,              0.0012377
                     79,                0.84642,                  1.807,                0.65936,                 1.1894,                0.87263,                0.91667,                 0.9684,                 0.7039,                0.65132,                    0.5,                0.43299,                0.18914,                 1.0327,                  1.932,                0.69135,                 1.7977,              0.0012278,              0.0012278,              0.0012278
                     80,                0.84572,                 1.8529,                0.64721,                 1.1599,                0.87558,                0.83333,                0.90884,                0.66415,                0.61291,                0.58333,                0.45754,                0.15354,                  1.026,                 1.8518,                0.72635,                 1.7769,              0.0012179,              0.0012179,              0.0012179
                     81,                0.83137,                 1.8007,                0.60596,                 1.1707,                0.94759,                  0.875,                0.94561,                0.69903,                0.72186,                0.66667,                0.50035,                0.17474,                0.92119,                 1.7247,                0.67023,                 1.6463,               0.001208,               0.001208,               0.001208
                     82,                0.89603,                 1.8164,                0.66258,                 1.1931,                0.95975,                0.99376,                 0.9934,                0.75622,                 0.6793,                  0.625,                0.52069,                0.19895,                0.91375,                  1.755,                0.58232,                 1.7258,              0.0011981,              0.0011981,              0.0011981
                     83,                0.85486,                 1.7966,                0.67258,                 1.2006,                0.95077,                0.95833,                0.97109,                0.71061,                0.69094,                    0.5,                0.47546,                0.17994,                 1.0069,                 1.8337,                 0.6644,                 1.7425,              0.0011882,              0.0011882,              0.0011882
                     84,                0.87641,                 1.8518,                0.66381,                  1.184,                      1,                0.86856,                0.93732,                0.65721,                0.83174,                0.66667,                0.63887,                0.22013,                 1.1778,                 1.8276,                0.71686,                 1.9372,              0.0011783,              0.0011783,              0.0011783
                     85,                0.84231,                  1.712,                0.65022,                 1.1652,                0.90863,                0.82893,                0.92344,                0.68881,                0.70568,                  0.625,                0.59406,                0.20871,                 1.0058,                 1.9196,                0.87522,                   1.72,              0.0011684,              0.0011684,              0.0011684
                     86,                0.89653,                 1.9132,                0.70724,                 1.2114,                0.95601,                0.95833,                0.98859,                0.77364,                0.63213,                0.58333,                0.53719,                0.19055,                 0.8525,                 2.0089,                0.59883,                 1.6144,              0.0011585,              0.0011585,              0.0011585
                     87,                0.90707,                 1.8524,                 0.6878,                 1.2177,                0.99932,                      1,                  0.995,                0.77053,                0.61926,                0.58333,                0.51465,                0.19439,                0.84829,                 2.0616,                0.58658,                 1.6541,              0.0011486,              0.0011486,              0.0011486
                     88,                0.82908,                 1.7557,                0.65182,                 1.1639,                0.93248,                  0.875,                0.91425,                0.61417,                0.76149,                0.58333,                0.55229,                0.22754,                 1.1993,                 1.7397,                0.78396,                 1.9164,              0.0011387,              0.0011387,              0.0011387
                     89,                 0.8379,                 1.7238,                0.64308,                  1.144,                0.99296,                0.83333,                0.96806,                 0.6562,                0.78776,                 0.6189,                0.52576,                0.18539,                  1.109,                 1.9263,                0.68276,                 1.8349,              0.0011288,              0.0011288,              0.0011288
                     90,                0.87362,                 1.7186,                0.65755,                 1.1967,                0.89899,                0.91667,                0.94592,                0.71224,                 0.7242,                0.66667,                0.61503,                0.21055,                0.96283,                 1.9666,                0.67793,                 1.7679,              0.0011189,              0.0011189,              0.0011189
                     91,                0.83017,                   1.69,                0.65709,                 1.1655,                0.95166,                      1,                 0.9902,                0.74888,                0.66809,                  0.625,                0.54854,                 0.1608,                0.88176,                 2.3274,                0.61647,                 1.7309,               0.001109,               0.001109,               0.001109
                     92,                0.84833,                 1.7605,                0.65047,                 1.1762,                0.94921,                0.91667,                0.98044,                0.76495,                0.65624,                0.58333,                 0.5142,                0.20461,                0.81626,                 1.9229,                 0.6643,                 1.6668,              0.0010991,              0.0010991,              0.0010991
                     93,                0.83765,                 1.7834,                0.64525,                 1.1806,                0.87945,                0.95833,                0.95872,                0.72491,                0.79092,                  0.625,                0.58001,                0.20958,                0.87145,                 1.9761,                0.81822,                 1.6765,              0.0010892,              0.0010892,              0.0010892
                     94,                0.81948,                 1.7419,                0.64718,                 1.1586,                      1,                0.90324,                 0.9849,                0.80298,                0.65098,                0.58333,                0.49899,                0.21093,                0.83384,                 1.7307,                0.60608,                 1.5908,              0.0010793,              0.0010793,              0.0010793
                     95,                0.82483,                 1.7236,                0.61512,                 1.1614,                0.93249,                0.91667,                0.97138,                0.75727,                0.73614,                0.70833,                0.66924,                0.22167,                 0.8038,                 1.9415,                0.70106,                 1.5651,              0.0010694,              0.0010694,              0.0010694
                     96,                0.81634,                 1.6952,                0.66689,                 1.1613,                      1,                0.92935,                0.98243,                0.77617,                 0.5772,                    0.5,                0.42289,                0.18559,                0.82673,                 2.1694,                0.72232,                 1.5467,              0.0010595,              0.0010595,              0.0010595
                     97,                0.81033,                 1.6898,                0.61331,                  1.146,                0.91602,                0.95833,                0.95716,                 0.7499,                0.62597,                    0.5,                0.42638,                0.21429,                0.86042,                 1.9386,                0.70045,                 1.5982,              0.0010496,              0.0010496,              0.0010496
                     98,                0.78685,                 1.6057,                 0.5986,                 1.1209,                0.93042,                0.83333,                0.91683,                0.70351,                0.67996,                0.54167,                0.48414,                0.18592,                 1.0084,                 1.9639,                0.99545,                 1.7727,              0.0010397,              0.0010397,              0.0010397
                     99,                0.82045,                 1.6327,                0.59505,                  1.154,                0.95952,                0.98789,                  0.975,                0.81541,                0.75101,                  0.625,                0.59901,                0.24022,                 0.7444,                 1.9776,                0.59397,                 1.5407,              0.0010298,              0.0010298,              0.0010298
